MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
8.3195,5.5,5.0948,1.3159,32.0,4.5282,35.6741,-115.3038,3.5719
7.8363,22.1,7.46,2.0357,175.0,4.9289,36.0739,-119.9388,3.7323
2.7087,39.3,6.1103,1.5033,298.0,4.0347,33.9809,-121.0544,0.6152
3.7228,36.4,7.7962,2.1034,639.0,2.3751,40.4349,-117.7367,1.816
5.4672,51.5,6.1835,1.1506,77.0,1.9675,37.3356,-116.0266,2.7063
8.0472,15.2,2.9033,0.714,151.0,2.4168,37.7917,-116.8173,3.9237
3.3619,26.4,1.0,0.5,460.0,6.5631,40.8932,-118.0362,0.6701
4.0093,17.8,5.7976,1.3714,439.0,3.3625,32.6504,-122.0691,2.1179
2.3076,23.5,5.0721,1.4501,589.0,7.0327,33.1358,-121.7437,0.8752
2.1864,44.7,3.5461,0.8519,629.0,2.8631,34.035,-116.8973,1.0061
7.2974,35.9,2.0987,0.5,566.0,2.7087,32.7854,-116.0725,3.1416
10.1122,46.0,4.0305,0.8493,490.0,2.9165,38.7525,-123.2806,4.755
4.2922,11.4,5.111,1.1867,427.0,2.8954,38.5219,-122.5334,2.4793
8.1835,45.5,6.8318,1.0563,784.0,2.2046,34.5026,-117.3551,4.1983
5.5677,4.0,5.8773,1.6674,43.0,1.8974,33.9194,-120.4156,3.004
3.0433,46.3,8.7161,2.7806,1890.0,3.6713,33.884,-118.5854,1.8213
5.5669,17.8,3.4288,0.7575,45.0,4.5812,41.5558,-118.0444,1.975
11.2776,17.0,7.2621,1.1562,137.0,7.9884,39.0883,-116.3499,5.2715
4.3864,27.1,5.5946,1.9433,322.0,2.5257,38.0616,-116.04,1.8441
11.4591,49.0,6.8893,1.3967,790.0,2.6089,35.5636,-121.559,5.5
0.9307,3.4,4.627,0.8112,20.0,2.2067,36.6139,-118.8164,0.6934
7.3386,19.0,7.6434,1.7117,392.0,4.7128,33.3494,-123.203,3.4934
4.722,44.7,6.0904,1.8132,891.0,4.162,41.9824,-115.6588,1.6694
3.7457,21.2,4.1411,0.8646,1091.0,2.1154,39.6733,-115.6228,1.842
4.7354,11.2,5.476,1.4508,201.0,2.0941,38.4038,-121.3552,1.7048
1.36,22.7,5.0209,1.1704,299.0,4.3974,38.0838,-122.8135,0.2
3.9283,20.7,6.4784,1.1243,218.0,3.5018,37.291,-123.764,2.0014
5.5526,47.7,3.1404,0.6785,272.0,4.0688,34.9456,-118.4627,2.387
10.8779,39.9,5.4413,1.605,144.0,2.1104,34.6507,-123.54,5.4996
3.2839,26.8,6.2906,1.7136,166.0,1.4175,37.7206,-117.3538,1.0277
2.7591,51.4,5.566,0.9682,623.0,2.117,33.1669,-117.3797,1.1776
3.3166,24.7,8.1939,1.4967,460.0,3.9555,33.2075,-118.0531,1.9106
7.762,4.0,7.048,1.9604,660.0,6.9896,37.8277,-115.2961,3.1154
5.4589,14.4,5.485,1.7151,500.0,2.53,41.2382,-120.5281,2.0007
3.2614,23.2,5.9334,1.3047,816.0,7.4659,41.1856,-115.0262,1.1097
6.098,9.0,6.0913,1.6389,971.0,4.1868,32.6029,-124.1123,3.1288
4.7505,49.3,6.3066,1.1612,71.0,1.7208,33.5202,-123.3161,2.2138
8.014,40.1,1.8487,0.5,172.0,3.2727,38.0392,-120.1718,3.6444
2.9411,14.7,4.8969,0.7544,320.0,4.2444,40.5605,-118.2631,0.7046
3.6818,31.1,2.5311,0.7686,394.0,1.1386,41.5673,-124.1601,1.4471
3.5422,37.8,8.0566,1.8546,206.0,3.8876,40.6755,-118.5419,1.4838
1.8624,49.0,5.3783,1.6846,1004.0,4.8023,38.9373,-121.2723,0.2
5.3531,46.0,5.1133,1.4914,2922.0,3.5238,34.405,-115.185,2.4885
5.2416,27.3,7.2936,2.3029,486.0,2.9309,33.1899,-118.9005,2.9569
4.4955,40.5,6.3446,1.3142,439.0,2.8034,32.9514,-118.3271,2.3886
3.8933,29.7,3.2427,0.6065,943.0,2.7387,38.3147,-114.571,1.7154
1.917,29.2,5.3582,1.8453,62.0,1.8769,32.8438,-116.4762,0.6723
3.482,6.9,4.8297,1.4173,415.0,2.2819,39.5228,-119.8981,1.9249
3.6487,7.4,2.0109,0.6371,1074.0,2.543,39.2685,-119.4928,1.382
2.7694,28.0,4.1194,0.6287,212.0,3.1437,33.2563,-117.6968,1.0805
4.0683,14.7,5.1329,1.1338,118.0,2.4043,41.1129,-122.3979,1.8019
5.7112,2.1,5.2701,1.5735,335.0,2.122,37.4583,-123.5692,3.007
13.8975,37.9,2.5355,0.5,380.0,4.0711,41.0922,-121.232,5.5
4.9766,2.7,7.8033,2.0559,163.0,3.4842,41.0653,-116.327,1.8976
5.2306,31.4,5.2958,1.2488,3282.0,2.4213,34.3718,-121.7981,2.5558
4.2859,28.5,5.5751,0.8559,250.0,3.6785,36.1155,-123.127,1.9637
1.4173,50.4,6.3013,1.2426,127.0,2.5061,33.779,-122.2003,0.9213
4.411,25.7,3.9238,0.8121,367.0,3.0809,39.8623,-117.3708,1.5894
4.6466,4.2,6.4127,1.1054,1000.0,4.4372,37.2892,-118.0535,2.3468
15.0,29.1,4.7659,1.3168,411.0,2.3596,41.3237,-117.2727,5.5
3.9932,43.9,3.7068,0.7357,656.0,1.8796,34.478,-121.1194,2.2939
5.3705,51.8,6.6469,1.3661,169.0,2.8347,39.0395,-115.041,1.9965
4.3893,22.9,8.4833,2.7965,1786.0,1.7413,41.8977,-119.7564,1.443
2.2229,17.3,6.9497,1.6917,707.0,2.6886,38.8211,-119.106,0.8539
8.8968,47.2,7.346,1.678,1150.0,2.6852,33.1534,-114.5375,4.9032
7.0368,10.8,4.4587,1.3143,581.0,1.1213,38.09,-114.2176,4.0314
7.2039,32.4,2.3048,0.765,920.0,3.7145,34.2085,-117.5538,3.0313
2.597,21.7,8.4803,1.3145,169.0,2.7925,32.7898,-114.5795,1.5569
10.3987,3.1,9.609,2.3028,247.0,4.8199,35.6821,-118.8142,5.1872
1.9326,18.7,8.5856,2.3366,1551.0,3.2747,35.028,-121.2735,1.0962
6.3733,14.5,4.8284,1.0319,1919.0,4.0319,39.9933,-121.1915,2.8784
15.0,36.0,3.1907,0.9715,128.0,4.8356,36.05,-118.6311,5.5
2.4736,49.4,3.3686,1.1598,518.0,2.85,39.4631,-118.1471,0.8195
3.1906,14.7,2.1325,0.7223,262.0,3.0032,32.6543,-119.884,0.9319
4.7578,42.4,5.2852,1.0739,201.0,1.6009,32.6407,-115.2204,2.7965
3.3132,3.8,8.7114,1.701,536.0,4.9323,32.7785,-120.0197,1.5791
1.7676,28.4,5.2167,1.7815,1263.0,2.8341,34.5839,-121.6291,0.366
4.6699,4.6,6.1046,1.4756,634.0,2.0091,36.0529,-124.4162,2.4548
2.3694,48.6,8.2512,1.5814,293.0,4.0386,38.2745,-114.309,0.8289
5.9545,40.1,4.6918,1.3672,675.0,1.2562,41.8662,-115.8447,3.019
2.5814,34.6,9.5711,1.9801,281.0,2.5302,35.8669,-118.0366,1.1287
11.3584,43.0,9.4842,1.9296,609.0,4.3203,33.0288,-115.7793,5.5
2.8012,34.0,5.2378,1.7067,1630.0,2.5216,34.3516,-115.992,1.4998
3.6942,50.4,4.3449,0.7929,51.0,2.2543,41.0296,-114.7156,1.8861
7.3017,37.4,6.8945,1.123,895.0,2.5435,39.1441,-120.4463,3.1161
2.1414,48.2,4.805,0.9794,87.0,1.3445,40.0069,-118.6741,1.4186
5.137,27.4,3.1869,0.8649,1378.0,3.9996,33.6796,-123.4644,1.903
9.8187,7.0,8.0625,1.4079,213.0,2.8601,33.7824,-114.3642,5.0328
1.7083,27.9,7.9329,1.9382,119.0,2.6941,33.5663,-114.1562,1.3991
5.0067,7.5,5.811,1.6007,809.0,2.6981,40.6431,-116.2146,2.3342
5.2379,31.2,2.9743,0.951,581.0,3.0211,34.4947,-119.7317,2.0605
7.1642,25.6,3.0409,0.5959,149.0,3.9016,38.6099,-119.286,3.5142
2.1336,32.8,5.7145,1.7913,115.0,2.9422,37.4036,-119.9286,0.9914
2.0294,1.5,4.5003,0.8865,334.0,1.7425,37.6717,-121.4202,0.8351
6.1298,10.9,4.8178,1.3748,121.0,3.7818,34.3566,-118.9582,2.5082
5.3559,26.1,7.5439,1.7814,140.0,3.6672,38.5348,-123.9388,2.6048
5.2085,49.5,6.9664,1.2047,453.0,3.2616,32.9095,-114.0852,2.5895
5.5172,20.6,8.2563,2.4179,154.0,4.6186,41.938,-120.0475,2.3563
2.9802,22.6,3.5188,0.6811,618.0,3.0409,32.7542,-114.7627,0.9643
5.1518,37.4,4.8136,0.8921,1790.0,4.6859,32.9765,-116.8951,2.134
5.3433,31.8,7.018,1.5556,348.0,5.2745,35.5842,-121.4556,2.5494
2.9194,16.2,6.3962,1.7951,460.0,3.7921,40.4004,-122.1684,1.643
13.7284,22.0,8.5648,1.6855,3035.0,2.2274,34.9433,-114.0454,5.5
5.9554,12.1,6.3411,1.1841,123.0,2.851,36.9834,-116.3927,3.3596
2.1929,50.3,9.1962,1.3977,1328.0,4.931,32.6708,-121.8786,1.2266
6.6454,7.7,6.58,1.6077,1177.0,1.6503,33.2494,-123.7918,3.547
2.4973,20.0,7.6243,1.7973,948.0,2.5682,38.2757,-117.1824,0.7989
7.1868,2.3,4.853,0.9549,1468.0,2.6191,34.3464,-121.3183,3.226
8.9814,12.3,5.5286,0.8886,534.0,2.1253,39.0954,-122.176,4.5215
2.739,40.8,7.3219,1.7269,225.0,4.2595,39.9612,-116.7832,0.8304
7.9887,11.3,8.726,2.6845,1205.0,3.4929,40.5782,-117.3678,3.4674
5.7412,5.1,6.9585,2.0392,1252.0,2.2605,33.7711,-119.4452,2.8828
7.3392,25.2,5.3337,1.7183,1218.0,3.8275,36.8273,-114.6021,3.2721
13.9863,1.5,8.2547,1.254,422.0,2.8197,41.4973,-117.3638,5.5
3.8681,5.3,1.116,0.5,197.0,2.1042,39.8348,-115.1191,1.4357
2.8513,42.2,2.6555,0.5797,489.0,2.2588,33.6111,-122.4992,1.5859
2.6282,40.3,6.8633,2.389,1035.0,3.5766,37.2738,-121.3852,1.1381
2.747,47.7,5.5282,1.1085,1124.0,4.3737,41.2626,-123.4025,0.2452
4.2791,44.6,6.711,1.6396,263.0,2.4727,36.6804,-121.3019,2.1512
5.4997,35.8,5.6288,1.2428,553.0,3.7351,40.4555,-114.2963,1.508
5.291,3.7,6.6419,1.4689,109.0,5.6559,37.2105,-114.39,2.0559
7.3618,40.9,3.8712,1.2328,1080.0,1.8157,33.5147,-116.5159,3.7669
4.5168,44.1,6.641,1.9875,184.0,3.4635,33.9046,-119.029,2.2095
10.7201,41.8,7.4888,2.6093,885.0,4.1882,32.9434,-116.3018,4.7118
3.8237,26.9,7.9411,2.1656,128.0,2.892,34.3555,-118.6884,1.6629
15.0,12.9,9.5271,2.3118,1132.0,4.9299,40.9893,-124.4632,5.5
6.5234,44.1,5.9882,1.0061,557.0,7.2394,38.6769,-119.2338,2.1664
2.6797,38.1,6.0478,2.1126,185.0,3.4464,39.5191,-118.2113,1.1662
2.3572,51.0,2.4537,0.6387,805.0,2.7362,38.4058,-121.7096,0.582
5.9864,8.9,4.4372,1.2872,224.0,4.4406,36.1721,-122.3654,2.7716
3.9193,12.5,5.1138,1.1831,854.0,4.2073,34.5602,-121.625,1.763
6.8785,11.8,7.6006,1.9727,307.0,1.0969,41.2933,-117.9519,3.3715
5.9533,41.4,4.278,1.4482,72.0,3.0009,37.3909,-122.9663,3.0299
4.2901,10.5,7.0927,1.3,151.0,2.5655,37.0704,-116.9366,2.0906
2.6964,4.4,5.4968,1.1459,262.0,3.5208,41.963,-120.0619,1.2152
1.806,51.9,5.1457,0.9283,1585.0,2.7802,36.1473,-120.7898,0.2
3.4284,2.3,5.9978,1.85,993.0,2.9035,40.6142,-116.0241,1.6986
7.492,43.6,4.7177,0.7662,2046.0,2.127,40.6923,-119.1863,2.8751
5.096,19.6,4.6419,0.7721,2108.0,4.0302,34.7104,-120.5268,1.8887
2.1224,43.9,2.0904,0.5,236.0,5.8242,33.401,-115.2794,0.4204
4.9724,29.3,5.0041,1.2652,334.0,2.1403,41.7684,-120.6334,2.4665
5.6474,47.0,4.5401,1.0499,267.0,1.718,36.546,-115.4805,2.4721
2.6371,48.2,4.468,0.7103,206.0,3.0283,32.5211,-119.2059,1.1208
4.9147,1.5,6.3337,2.163,64.0,2.9699,37.2407,-122.3159,2.0807
4.641,4.8,6.8173,2.3218,398.0,4.7988,38.3834,-118.0654,2.0466
2.2574,13.8,5.9644,1.2279,112.0,1.8373,39.8728,-121.5041,1.2348
5.5549,35.1,7.4908,2.2196,390.0,2.4225,41.458,-122.9549,3.0001
6.2744,46.3,6.6511,1.7673,3347.0,1.2724,41.1941,-123.5914,3.3548
8.5834,24.5,4.9099,0.9697,242.0,5.2069,41.4313,-121.9622,3.878
8.4341,32.0,4.5743,0.926,490.0,3.3208,32.8052,-116.7662,4.2831
1.9609,10.6,6.1256,1.5206,999.0,2.4958,39.2619,-115.701,0.3769
2.5531,42.1,6.6475,1.5545,534.0,1.7702,34.6457,-115.4519,1.9227
6.1045,50.3,8.2957,1.7275,540.0,1.8364,34.2818,-121.6634,3.2601
6.0999,14.7,7.8823,2.4554,281.0,3.5456,40.103,-117.5598,2.6919
6.1045,26.2,4.4171,1.0879,320.0,1.9291,36.4627,-122.0813,3.0953
15.0,5.4,5.296,1.488,154.0,3.1318,41.2077,-117.961,5.5
6.3125,29.5,6.842,1.2853,940.0,6.8017,32.9031,-115.1843,2.1173
8.8582,26.6,7.636,1.9602,71.0,2.6142,40.1207,-124.0706,4.4262
7.9439,8.4,7.3779,1.5759,1065.0,2.045,33.7999,-114.1551,4.5128
6.6249,23.5,5.3722,1.3714,99.0,3.5001,34.1775,-115.8156,3.4274
3.7093,18.0,2.992,0.916,1056.0,1.8398,37.0348,-116.5025,1.638
7.0666,27.6,3.5021,1.0639,283.0,5.9774,36.2581,-117.2407,3.0256
2.8188,30.9,6.0453,1.3351,118.0,5.2669,37.1186,-116.4121,1.1038
3.8881,1.4,6.1845,1.7864,720.0,2.8132,41.4303,-114.0567,1.6466
3.3494,39.8,3.3026,1.1171,1021.0,2.0982,38.7452,-116.413,1.2981
4.7073,37.4,5.5891,1.5378,260.0,2.5337,35.2579,-120.8082,2.3122
15.0,19.7,6.7624,1.2151,829.0,2.6691,34.1426,-118.0538,5.5
1.4618,3.7,3.1975,0.9143,41.0,3.5023,36.4904,-120.9623,0.6596
6.765,39.5,7.71,1.3183,108.0,4.5533,36.7906,-114.3143,3.2122
1.703,49.7,4.7449,1.5394,1469.0,1.9846,38.2123,-115.0485,0.7195
3.3765,13.2,8.0152,2.0305,323.0,4.5013,35.027,-118.54,1.7953
8.6138,17.5,4.4331,1.0064,63.0,3.8462,39.7913,-116.2966,4.2067
4.6579,10.4,3.4467,0.5563,201.0,2.452,33.4354,-114.9483,2.1442
2.3475,30.4,4.5837,1.0366,160.0,1.9451,37.8243,-121.9422,0.9047
2.9178,8.9,5.3097,1.7556,342.0,3.1471,38.4236,-118.4154,0.9722
6.738,19.2,4.723,0.7283,278.0,1.9663,34.4649,-119.442,3.67
2.8915,36.5,5.068,1.2413,482.0,4.5243,40.3471,-116.3983,1.1237
5.1032,29.6,6.1679,2.0739,376.0,1.9164,38.3466,-120.5196,2.0394
4.6059,20.7,5.1576,1.1809,1571.0,3.74,38.6344,-117.0557,1.9766
3.0314,22.4,5.3678,1.2648,617.0,2.9088,37.2286,-120.2686,1.7363
15.0,29.7,2.0815,0.5531,638.0,2.4007,41.1411,-123.3337,5.5
6.5558,1.3,6.2834,1.5243,1294.0,2.8831,39.0923,-123.3752,3.1004
1.3296,5.0,5.3216,0.9777,273.0,4.6274,36.1274,-123.2499,0.6545
5.0122,45.9,8.7206,1.3405,114.0,1.8647,34.7668,-124.1585,2.3142
3.013,5.0,3.6209,0.9847,1349.0,2.5476,33.1751,-118.9038,1.4854
7.4742,37.0,1.8834,0.6294,462.0,2.224,34.0709,-117.445,3.9915
2.7857,47.9,6.7361,1.1537,464.0,2.9581,41.9305,-123.1694,0.821
4.1835,14.8,6.1931,1.1902,214.0,2.2845,36.3643,-118.0755,2.3559
6.0678,19.9,3.4831,0.7804,218.0,1.4811,41.0375,-118.2237,2.7734
7.5342,30.0,2.4405,0.7608,941.0,1.9698,34.1204,-122.9555,3.4492
2.1811,46.0,8.5748,1.748,1080.0,5.784,36.5409,-120.2571,0.665
3.6667,49.0,8.3282,2.7184,883.0,3.3158,41.6249,-116.5711,1.234
3.3704,38.7,1.0,0.5,892.0,3.2705,33.3658,-124.3241,1.1368
3.0283,5.4,4.5836,1.5501,713.0,2.6831,38.1429,-122.957,1.1975
12.9264,35.1,8.8284,2.3144,460.0,2.9428,41.2321,-114.0438,5.5
5.7144,21.9,4.5479,1.2814,339.0,2.5296,41.522,-116.7978,2.4268
2.1032,25.0,4.5188,1.0101,1353.0,3.709,40.5371,-119.6266,0.4244
7.7735,3.5,4.9345,1.5119,278.0,3.1278,40.6314,-117.8871,3.6117
15.0,10.7,3.2582,0.5973,584.0,1.8804,38.6957,-115.6147,5.5
8.3268,41.3,2.0904,0.5,181.0,3.3251,34.594,-115.6558,3.5918
1.8011,24.2,7.6051,1.7424,209.0,1.1236,39.4414,-121.0906,0.8318
3.3517,16.4,1.8141,0.5819,319.0,3.545,41.7947,-119.3414,0.4923
9.5845,20.6,5.9945,1.8043,181.0,1.7096,37.4964,-117.8004,4.7161
2.9312,44.6,7.2732,1.8432,896.0,2.8909,34.9766,-123.7451,1.434
5.8491,39.2,2.5975,0.6869,105.0,1.8629,37.948,-114.5691,2.8753
7.1333,14.9,3.6515,0.6426,446.0,3.0076,39.0608,-119.9562,3.2917
2.5698,7.0,7.9264,2.5217,461.0,3.786,34.4787,-120.6059,1.4322
4.3244,13.9,6.5658,2.0183,66.0,5.4801,39.3323,-114.9754,1.7304
0.641,48.0,4.2654,1.1998,260.0,1.6217,38.0806,-123.258,0.2
2.4239,30.7,7.9045,1.9227,521.0,4.4379,38.3173,-124.0878,0.5724
3.8515,28.2,7.9131,2.7133,619.0,3.166,35.4069,-117.3075,1.7787
2.1198,31.4,6.0381,1.9673,329.0,2.5086,33.975,-120.4575,0.8579
11.9347,19.7,3.6997,1.0318,794.0,4.0712,38.4228,-116.473,5.4781
1.9001,42.2,4.6731,1.0485,362.0,2.7336,38.0692,-123.7803,0.5469
3.4417,27.7,6.0728,1.6615,409.0,4.0029,35.7111,-120.4705,1.6516
4.8474,7.0,5.1228,1.358,519.0,2.02,35.311,-122.0291,2.4569
10.6415,7.6,7.3779,1.6884,1019.0,2.3322,35.7988,-116.7341,5.4661
1.8936,28.4,2.4405,0.5158,205.0,4.3817,37.1539,-122.1147,0.6578
9.0061,48.8,2.5115,0.5812,248.0,5.4421,41.7608,-119.6916,3.6469
4.5093,16.7,5.8617,1.5521,207.0,2.9624,39.7539,-115.9018,1.9621
2.487,45.3,4.5169,1.0643,289.0,1.0,40.5915,-114.8884,1.1781
5.9136,40.0,4.2459,0.8607,1679.0,2.7742,37.3037,-116.9126,3.328
5.0502,13.6,1.9639,0.5935,715.0,3.0434,37.4982,-119.9931,1.8748
3.1264,2.9,5.5391,1.4196,130.0,2.7371,34.4411,-118.4941,1.6314
4.6734,6.2,5.3945,0.8822,221.0,3.4368,39.3499,-117.2583,1.7167
3.5566,38.2,6.807,1.5225,586.0,2.4824,36.505,-115.3132,1.6931
4.7976,11.2,5.6378,1.8435,163.0,4.2019,39.5532,-115.17,1.8182
6.6677,19.9,5.2348,1.5759,195.0,1.8838,36.386,-114.7248,3.2795
11.607,26.6,7.854,1.6859,1548.0,4.927,33.5309,-115.9875,5.5
2.1325,38.0,2.8751,0.9707,218.0,5.5847,34.144,-122.9586,0.5109
15.0,6.8,6.5728,1.0866,1048.0,2.085,40.2099,-116.6498,5.5
1.3892,21.7,2.1577,0.7385,1416.0,2.0846,34.9569,-115.9468,0.9093
4.0916,25.7,3.8233,0.7614,194.0,3.5405,35.0114,-115.2824,2.1328
6.3789,28.6,3.0747,0.5,166.0,1.8685,41.329,-114.7894,2.807
5.3047,42.7,7.0639,1.6725,306.0,2.4669,38.7475,-119.1538,2.2201
3.0845,9.8,5.3692,1.1909,136.0,4.6693,33.5859,-117.6215,1.4592
3.9556,42.2,5.473,1.411,455.0,4.0351,33.8641,-124.3997,1.9266
3.3341,36.3,3.2865,1.0167,328.0,6.6331,35.0875,-118.4858,1.3485
3.1468,29.3,4.9006,1.5608,579.0,3.2166,38.143,-119.5314,1.5193
7.4615,36.7,3.9731,0.9148,1631.0,2.3529,39.6518,-114.3958,3.6037
5.5523,22.0,6.2669,1.4788,914.0,3.0664,35.1077,-115.0321,2.1607
2.9572,8.1,3.5178,0.6319,658.0,2.8286,40.7711,-116.1252,0.9845
7.6888,35.0,8.1596,1.3015,56.0,2.8445,33.5372,-123.9016,4.3114
5.3891,27.8,2.1488,0.5979,629.0,2.9757,34.4722,-120.2787,2.2114
7.2989,33.6,3.887,0.6331,2259.0,2.0695,41.7194,-117.1916,3.4482
6.539,18.2,8.8544,2.6277,20.0,3.3632,33.7801,-124.1886,3.9364
2.7254,47.3,4.6297,1.1936,804.0,1.7101,40.9371,-122.024,1.3611
3.2024,31.0,2.8702,0.5445,344.0,2.2553,39.1874,-115.1812,1.4902
7.0173,5.4,5.9381,1.5315,172.0,2.8647,33.1943,-123.1373,3.4859
6.4638,23.9,4.5492,0.8489,899.0,1.2167,37.0952,-123.9606,3.2457
4.4258,39.6,3.8283,0.9102,2230.0,4.0861,37.4303,-118.4038,1.2318
4.8086,41.5,3.3083,1.0253,876.0,1.3215,41.3553,-114.5621,1.7738
9.6465,26.2,11.0367,2.6751,278.0,3.9268,36.5005,-115.7364,4.6069
3.1426,46.6,4.9969,0.8981,157.0,1.7912,36.7443,-114.2649,1.5285
6.223,14.7,1.6489,0.5,466.0,2.5549,33.5686,-116.588,2.8965
3.9697,21.9,8.4874,1.5901,966.0,3.6975,38.5721,-119.9076,1.8352
3.933,46.8,6.7221,2.0012,274.0,7.2374,34.5035,-114.5605,1.7659
8.6648,46.7,3.9671,0.9754,302.0,3.1474,33.2366,-120.0204,4.0286
7.354,36.0,3.6338,0.8748,6782.0,1.3593,41.9707,-120.824,2.7337
7.3017,44.8,6.8469,2.193,1186.0,4.3994,35.0615,-119.7939,3.2294
9.8089,5.5,5.0062,1.4604,1274.0,2.738,33.84,-115.9533,4.8991
4.5385,45.1,1.648,0.5,94.0,3.0894,39.1452,-114.8642,2.0217
6.7475,17.4,9.0745,1.8987,199.0,3.7552,40.306,-120.7443,3.4325
3.7204,10.1,4.632,1.5016,435.0,1.2335,33.1087,-119.6464,2.2404
5.4439,13.2,8.4911,1.3048,148.0,3.012,33.5012,-115.0676,3.051
4.145,22.3,8.0569,2.0871,1999.0,2.5501,33.3567,-124.006,1.6484
4.7503,13.8,3.498,1.0339,1653.0,4.8975,32.9461,-116.2694,1.7043
